Date,Year,Site_Code,Orchard_Block,Treatment,Section,Distance,Round,Hemiptera,Neuroptera,Coleoptera,Syrphidae,Parasitoids,Araneae,Opiliones,Anystidae,Total_NE,Anthocoridae,Nabidae,Chrysopidae,Hemerobiidae,Carabidae,Coccinellidae,Staphylinidae,Syrphidae,Parasitoid,Araneidae,Dictynidae,Clubionidae,Linyphiidae,Philodromidae,Salticidae,Tetragnathidae,Theridiidae,Thomisidae,Leiobunidae,Phalangiidae,Anystidae,Family_richness,Shannon
3/10/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
21/05/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,2,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.636514168
14/06/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,3,0,0,0,0,0,1,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0.376770161
27/06/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,4,0,0,0,1,0,0,2,6,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0.848685558
5/7/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,5,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0.693147181
23/07/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6/9/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,9,0,0,0,0,1,0,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0.450561209
19/09/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,10,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.693147181
3/10/2017,Year_1,Site_1,Orchard_Block_1,CS,3,48,11,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1.098612289
21/05/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,2,0,0,0,0,0,1,4,7,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,7,3,0.887694276
14/06/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,3,0,0,0,0,0,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0.79631164
27/06/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
5/7/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
23/07/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,8,1,0,0,0,0,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0.950270539
6/9/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,9,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0.450561209
19/09/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,10,1,0,0,0,0,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1.054920168
3/10/2017,Year_1,Site_1,Orchard_Block_1,CS,4,67,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
21/05/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,2,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,1.039720771
14/06/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0.693147181
27/06/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5/7/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/07/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,8,3,0,0,0,0,0,2,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1.078992208
6/9/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/09/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,10,2,0,0,0,1,0,0,2,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1.054920168
3/10/2017,Year_1,Site_1,Orchard_Block_1,AMWS,1,10,11,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.693147181
21/05/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,2,0,0,0,0,0,3,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,3,0.974314753
14/06/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,3,0,0,0,0,0,1,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,3,0.943348392
27/06/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,4,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0.562335145
5/7/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
23/07/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
6/9/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,9,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
19/09/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,10,3,0,0,0,0,0,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.636514168
3/10/2017,Year_1,Site_1,Orchard_Block_1,AMWS,2,29,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
21/05/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,2,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,3,1.039720771
14/06/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,3,2,0,0,0,0,4,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,1.011404265
27/06/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
5/7/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
23/07/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,7,1,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.562335145
23/08/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,8,1,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.562335145
6/9/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19/09/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,10,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.636514168
3/10/2017,Year_1,Site_1,Orchard_Block_1,AMWS,3,48,11,2,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.636514168
21/05/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,2,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0.673011667
14/06/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,3,0,0,0,0,0,0,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0.529706199
27/06/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,4,0,0,0,1,0,1,2,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,4,1.213007566
5/7/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
23/07/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,8,2,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.673011667
6/9/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,9,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.636514168
19/09/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,10,0,1,0,0,1,0,0,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1.039720771
3/10/2017,Year_1,Site_1,Orchard_Block_1,AMWS,4,67,11,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21/05/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.693147181
1/6/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
14/06/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27/06/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,4,0,0,0,2,0,0,1,6,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0.848685558
5/7/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,5,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.693147181
23/07/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,8,1,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.500402424
6/9/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19/09/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,10,0,0,0,0,0,2,0,10,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,2,0.450561209
3/10/2017,Year_1,Site_1,Orchard_Block_1,SWS,1,10,11,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.693147181
21/05/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,2,0,0,0,0,2,0,4,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,3,1.039720771
14/06/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,3,1,0,0,0,0,0,3,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0.897945725
27/06/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,4,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0.636514168
5/7/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/07/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,8,2,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.673011667
6/9/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19/09/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,10,4,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.693147181
3/10/2017,Year_1,Site_1,Orchard_Block_1,SWS,2,29,11,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
21/05/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14/06/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
27/06/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,4,0,0,0,0,1,0,4,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0.500402424
5/7/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
23/07/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,7,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0.693147181
23/08/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
6/9/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,9,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
19/09/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,10,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
3/10/2017,Year_1,Site_1,Orchard_Block_1,SWS,3,48,11,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
21/05/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,2,0,0,0,0,0,0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,0.689009238
14/06/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0.693147181
27/06/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,4,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0.673011667
5/7/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
23/07/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,8,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
6/9/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,9,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
19/09/2017,Year_1,Site_1,Orchard_Block_1,SWS,4,67,10,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,0.950270539
