Date,Year,Site_Code,Orchard_Block,Treatment,Section,Distance,Round,Hemiptera,Neuroptera,Coleoptera,Syrphidae,Parasitoids,Araneae,Opiliones,Total_NE,Anthocoridae,Nabidae,Chrysopidae,Hemerobiidae,Carabidae,Coccinellidae,Staphylinidae,Syrphidae,Parasitoid,Araneidae,Clubionidae,Linyphiidae,Lycosidae,Tetragnathidae,Theridiidae,Thomisidae,Leiobunidae,Phalangiidae,Family_richness,Shannon
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,1,10,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,1,10,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,2,29,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,2,29,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,2,29,4,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0.636514168
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,2,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,3,48,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,3,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,3,48,3,0,0,1,0,2,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.636514168
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,3,48,4,0,0,2,0,6,1,0,9,0,0,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,3,0.848685558
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,3,48,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,4,67,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,4,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,4,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,4,67,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,4,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,1,10,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,1,10,3,0,0,3,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0.636514168
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,1,10,4,0,0,3,0,3,0,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0.693147181
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,1,10,5,0,0,1,0,2,1,0,4,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,3,1.039720771
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,2,29,2,0,0,1,0,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0.636514168
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,2,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,2,29,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,2,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,3,48,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,3,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,3,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,3,48,4,0,0,1,0,3,2,0,6,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,3,1.011404265
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,3,48,5,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.693147181
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,4,67,1,0,0,1,0,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0.500402424
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,4,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,4,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,4,67,4,0,0,1,0,3,0,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0.562335145
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,AMWS,4,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,1,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,1,10,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,1,10,4,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0.693147181
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,1,10,5,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0.562335145
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,2,29,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.693147181
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,2,29,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,2,29,3,0,0,2,0,1,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1.098612289
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,2,29,4,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.693147181
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,2,29,5,0,0,1,0,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0.562335145
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,3,48,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,3,48,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,3,48,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0.693147181
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,3,48,4,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0.636514168
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,3,48,5,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,4,67,1,0,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0.636514168
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,4,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,4,67,3,0,0,2,0,3,0,0,5,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0.673011667
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,4,67,4,0,0,0,0,6,0,1,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0.410116318
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,CS,4,67,5,0,0,2,0,2,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0.693147181
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,1,10,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0.693147181
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,1,10,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,2,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,2,29,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,2,29,4,0,0,1,0,1,1,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1.098612289
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,2,29,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0.693147181
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,3,48,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,3,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,3,48,3,0,0,2,0,1,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.636514168
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,3,48,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,3,48,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0.693147181
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,4,67,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0.693147181
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,4,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,4,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,4,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,SWS,4,67,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,1,10,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,1,10,2,0,0,2,0,1,1,0,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,1.039720771
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,1,10,3,0,0,1,0,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0.636514168
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,1,10,4,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0.673011667
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,1,10,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0.693147181
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,2,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,2,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,2,29,4,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0.693147181
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,2,29,5,0,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0.500402424
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,3,48,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0.636514168
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,3,48,2,0,0,1,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0.636514168
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,3,48,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,3,48,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,3,48,5,0,0,2,0,1,1,0,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,1.039720771
14/07/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,4,67,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,4,67,2,0,0,2,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0.636514168
16/08/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,4,67,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,4,67,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_2,AMWS,4,67,5,1,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0.562335145
14/07/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,1,10,1,0,0,2,0,0,3,0,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0.673011667
2/8/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,1,10,3,0,1,1,0,2,1,0,5,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,4,1.33217904
31/08/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,1,10,4,2,1,0,0,4,1,0,8,2,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,4,1.213007566
14/09/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,1,10,5,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0.636514168
14/07/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,2,29,1,0,1,4,0,3,1,0,9,0,0,0,1,4,0,0,0,3,0,0,1,0,0,0,0,0,0,4,1.214889654
2/8/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,2,29,2,0,0,2,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.636514168
16/08/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,2,29,3,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.693147181
31/08/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,2,29,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14/09/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,2,29,5,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0.636514168
14/07/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,3,48,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.693147181
2/8/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,3,48,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16/08/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,3,48,3,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.693147181
31/08/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,3,48,4,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.693147181
14/09/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,3,48,5,0,0,2,0,1,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0.636514168
14/07/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,4,67,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.693147181
2/8/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,4,67,2,0,0,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,1.098612289
16/08/2017,Year_1,Site_Code_2,Orchard_Block_3,CS,4,67,3,0,0,1,0,2,1,0,4,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,3,1.039720771
